instance_id,X,Y,Z,num_obs,inliers,mean_reproj,max_reproj,fallback_no_ransac
0,-1.2741348391047072,6.00136466449523,0.6301248430064824,81,35,1.6957061079020062,2.7393796115580136,False
1,-1.2252265981566102,5.518624699897831,0.43156297560769985,29,7,1.5880637419968804,2.3045286281231947,False
2,-0.0718484431300253,6.001912334969158,3.472655263719462,172,49,1.5148579413895409,3.012112561349908,False
3,-0.01793067714976577,6.010086178024717,3.6714538148154507,165,51,1.6836998740705753,2.8966626957297334,False
8,0.14755522724434297,-3.177003642533788,4.551531060438131,349,36,1.7248063164499632,3.2856785783454825,False
9,0.11134700555390288,-3.1772933753594157,4.332753147285065,341,94,1.841810949793598,3.4361869684567883,False
15,-0.42225037476850114,-3.212955971711818,2.848117343884842,87,14,1.4102898630002385,2.186654405202108,False
16,-1.3094088628092846,-3.3476961750489007,1.059844813486472,104,3,1.4939400590510257,2.1930750341621414,False
17,-1.2417962273332646,-2.6587522360490956,0.7241268370479438,122,14,1.609400114592386,3.1605664549965997,False
